abc.netease.com	223.252.215.121
download.popo.netease.com	113.108.224.243
download.sf.netease.com	61.135.218.101
downloads.ci.netease.com	115.236.126.253, 115.236.126.254
downloads.da.netease.com	223.252.199.10
downloads.data.netease.com	59.111.163.13
downloads.cloud.netease.com	114.113.199.251
downloads.hz.netease.com	115.236.126.253, 115.236.126.254
downloads.qa.netease.com	115.236.126.253, 115.236.126.254
downloads.pay.netease.com	220.181.96.66
downloads.sf.netease.com	61.135.218.101
e.ci.netease.com	115.236.126.253, 115.236.126.254
e.cloud.netease.com	114.113.199.251
e.hz.netease.com	115.236.126.253, 115.236.126.254
e.pay.netease.com	220.181.96.66
e.qa.netease.com	115.236.126.253, 115.236.126.254
e.sf.netease.com	61.135.218.101
e.da.netease.com	223.252.199.10
edit.ci.netease.com	115.236.126.253, 115.236.126.254
edit.cloud.netease.com	114.113.199.251
edit.da.netease.com	223.252.199.10
edit.hz.netease.com	115.236.126.253, 115.236.126.254
edit.data.netease.com	59.111.163.13
edit.pay.netease.com	220.181.96.66
edit.sf.netease.com	61.135.218.101
e.data.netease.com	59.111.163.13
edm.data.netease.com	59.111.163.13
edm.da.netease.com	223.252.199.10
edit.qa.netease.com	115.236.126.253, 115.236.126.254
edm.cloud.netease.com	114.113.199.251
edm.ci.netease.com	115.236.126.253, 115.236.126.254
edm.hz.netease.com	115.236.126.253, 115.236.126.254
edm.pay.netease.com	220.181.96.66
edm.qa.netease.com	115.236.126.253, 115.236.126.254
edm.sf.netease.com	61.135.218.101
en.cloud.netease.com	114.113.199.251
en.da.netease.com	223.252.199.10
en.data.netease.com	59.111.163.13
en.hz.netease.com	115.236.126.253, 115.236.126.254
en.ci.netease.com	115.236.126.253, 115.236.126.254
en.pay.netease.com	220.181.96.66
en.qa.netease.com	115.236.126.253, 115.236.126.254
en.sf.netease.com	61.135.218.101
erp.ci.netease.com	115.236.126.253, 115.236.126.254
erp.cloud.netease.com	114.113.199.251
erp.da.netease.com	223.252.199.10
erp.data.netease.com	59.111.163.13
erp.hz.netease.com	115.236.126.253, 115.236.126.254
erp.pay.netease.com	220.181.96.66
erp.qa.netease.com	115.236.126.253, 115.236.126.254
erp.sf.netease.com	61.135.218.101
exchange.cloud.netease.com	114.113.199.251
exchange.ci.netease.com	115.236.126.253, 115.236.126.254
exchange.da.netease.com	223.252.199.10
exchange.data.netease.com	59.111.163.13
exchange.hz.netease.com	115.236.126.253, 115.236.126.254
exchange.pay.netease.com	220.181.96.66
exchange.sf.netease.com	61.135.218.101
exchange.qa.netease.com	115.236.126.253, 115.236.126.254
f.ci.netease.com	115.236.126.253, 115.236.126.254
f.da.netease.com	223.252.199.10
f.f.netease.com	106.2.95.29, 59.111.0.134
f.cloud.netease.com	114.113.199.251
f.data.netease.com	59.111.163.13
f.db.netease.com	106.2.95.29, 59.111.0.134
f.dt.netease.com	106.2.95.29, 59.111.0.134
f.cc.netease.com	106.2.95.29, 59.111.0.134
f.hz.netease.com	115.236.126.253, 115.236.126.254
f.jl.netease.com	106.2.95.29, 59.111.0.134
f.ff.netease.com	106.2.95.29, 59.111.0.134
f.lj.netease.com	106.2.95.29, 59.111.0.134
f.long.netease.com	106.2.95.29, 59.111.0.134
f.next.netease.com	106.2.95.29, 59.111.0.134
f.my.netease.com	106.2.95.29, 59.111.0.134
f.rich.netease.com	106.2.95.29, 59.111.0.134
f.pk.netease.com	106.2.95.29, 59.111.0.134
f.pay.netease.com	220.181.96.66
f.sf.netease.com	61.135.218.101
f.qa.netease.com	115.236.126.253, 115.236.126.254
f.tj.netease.com	106.2.95.29, 59.111.0.134
f.tx.netease.com	106.2.95.29, 59.111.0.134
f.ty.netease.com	106.2.95.29, 59.111.0.134
f.wj.netease.com	106.2.95.29, 59.111.0.134
f.star.netease.com	106.2.95.29, 59.111.0.134
f.wf.netease.com	106.2.95.29, 59.111.0.134
f.xc.netease.com	106.2.95.29, 59.111.0.134
f.zd.netease.com	106.2.95.29, 59.111.0.134
f.x2.netease.com	106.2.95.29, 59.111.0.134
f.zy.netease.com	106.2.95.29, 59.111.0.134
f.zh.netease.com	106.2.95.29, 59.111.0.134
f.zm.netease.com	106.2.95.29, 59.111.0.134
f.wh.netease.com	106.2.95.29, 59.111.0.134
f.z.netease.com	106.2.95.29, 59.111.0.134
f.zs.netease.com	106.2.95.29, 59.111.0.134
feedback.cloud.netease.com	114.113.199.251
feedback.da.netease.com	223.252.199.10
feedback.data.netease.com	59.111.163.13
feedback.ci.netease.com	115.236.126.253, 115.236.126.254
f.dj.netease.com	106.2.95.29, 59.111.0.134
feedback.hz.netease.com	115.236.126.253, 115.236.126.254
feedback.pay.netease.com	220.181.96.66
feedback.sf.netease.com	61.135.218.101
feedback.qa.netease.com	115.236.126.253, 115.236.126.254
files.cloud.netease.com	114.113.199.251
files.data.netease.com	59.111.163.13
files.ci.netease.com	115.236.126.253, 115.236.126.254
files.hz.netease.com	115.236.126.253, 115.236.126.254
files.pay.netease.com	220.181.96.66
files.sf.netease.com	61.135.218.101
files.qa.netease.com	115.236.126.253, 115.236.126.254
forum.da.netease.com	223.252.199.10
forum.ci.netease.com	115.236.126.253, 115.236.126.254
forum.cloud.netease.com	114.113.199.251
forum.data.netease.com	59.111.163.13
forum.hz.netease.com	115.236.126.253, 115.236.126.254
forum.qa.netease.com	115.236.126.253, 115.236.126.254
forum.pay.netease.com	220.181.96.66
forum.sf.netease.com	61.135.218.101
ftp.ci.netease.com	115.236.126.253, 115.236.126.254
ftp.cloud.netease.com	114.113.199.251
ftp.data.netease.com	59.111.163.13
ftp.hz.netease.com	115.236.126.253, 115.236.126.254
ftp.da.netease.com	223.252.199.10
ftp.mc.netease.com	52.212.171.79
ftp.pay.netease.com	220.181.96.66
ftp.sf.netease.com	61.135.218.101
ftp.qa.netease.com	115.236.126.253, 115.236.126.254
g.ci.netease.com	115.236.126.253, 115.236.126.254
g.cloud.netease.com	114.113.199.251
g.da.netease.com	223.252.199.10
g.data.netease.com	59.111.163.13
g.hz.netease.com	59.111.178.110
g.mail.netease.com	223.252.216.151
g.pm.netease.com	59.111.0.58
g.qa.netease.com	115.236.126.253, 115.236.126.254
g.pay.netease.com	220.181.96.66
g.sf.netease.com	61.135.218.101
gateway.ci.netease.com	115.236.126.253, 115.236.126.254
gateway.data.netease.com	59.111.163.13
gateway.da.netease.com	223.252.199.10
gateway.cloud.netease.com	114.113.199.251
gateway.hz.netease.com	115.236.126.253, 115.236.126.254
gateway.qa.netease.com	115.236.126.253, 115.236.126.254
gateway.pay.netease.com	220.181.96.66
gateway.sf.netease.com	61.135.218.101
git.cloud.netease.com	114.113.199.251
git.da.netease.com	223.252.199.10
git.data.netease.com	59.111.163.13
git.ci.netease.com	115.236.126.253, 115.236.126.254
git.hz.netease.com	115.236.126.253, 115.236.126.254
git.n.netease.com	123.58.182.133
git.qa.netease.com	115.236.126.253, 115.236.126.254
git.sf.netease.com	61.135.218.101
git.yx.netease.com	59.111.182.79
git.mail.netease.com	220.181.15.238
gm.ci.netease.com	115.236.126.253, 115.236.126.254
gm.cloud.netease.com	114.113.199.251
gm.data.netease.com	59.111.163.13
gm.da.netease.com	223.252.199.10
git.pay.netease.com	220.181.96.66
gm.matrix.netease.com	106.2.69.191
gm.hz.netease.com	115.236.126.253, 115.236.126.254
gm.pay.netease.com	220.181.96.66
gm.qa.netease.com	115.236.126.253, 115.236.126.254
gm.sf.netease.com	61.135.218.101
go.cloud.netease.com	114.113.199.251
go.da.netease.com	223.252.199.10
go.data.netease.com	59.111.163.13
go.hz.netease.com	115.236.126.253, 115.236.126.254
go.ci.netease.com	115.236.126.253, 115.236.126.254
go.pay.netease.com	220.181.96.66
go.sf.netease.com	61.135.218.101
go.qa.netease.com	115.236.126.253, 115.236.126.254
h.ci.netease.com	115.236.126.253, 115.236.126.254
h.cloud.netease.com	114.113.199.251
h.data.netease.com	59.111.163.13
h.hz.netease.com	115.236.126.253, 115.236.126.254
h.pay.netease.com	220.181.96.66
h.qa.netease.com	115.236.126.253, 115.236.126.254
h.tool.netease.com	59.111.0.132
h.sf.netease.com	61.135.218.101
help.cloud.netease.com	114.113.199.251
help.ci.netease.com	115.236.126.253, 115.236.126.254
help.da.netease.com	223.252.199.10
help.data.netease.com	59.111.163.13
help.hz.netease.com	115.236.126.253, 115.236.126.254
help.qa.netease.com	115.236.126.253, 115.236.126.254
help.sf.netease.com	61.135.218.101
help.pay.netease.com	220.181.96.66
home.ci.netease.com	115.236.126.253, 115.236.126.254
home.cloud.netease.com	114.113.199.251
home.da.netease.com	223.252.199.10
home.data.netease.com	59.111.163.13
home.hz.netease.com	115.236.126.253, 115.236.126.254
home.matrix.netease.com	106.2.49.227
home.pay.netease.com	220.181.96.66
home.qa.netease.com	115.236.126.253, 115.236.126.254
home.sf.netease.com	61.135.218.101
ht.cloud.netease.com	114.113.199.251
ht.da.netease.com	223.252.199.10
ht.data.netease.com	59.111.163.13
ht.ci.netease.com	115.236.126.253, 115.236.126.254
ht.hz.netease.com	115.236.126.253, 115.236.126.254
ht.pay.netease.com	220.181.96.66
ht.sf.netease.com	61.135.218.101
ht.qa.netease.com	115.236.126.253, 115.236.126.254
i.ci.netease.com	115.236.126.253, 115.236.126.254
i.da.netease.com	223.252.199.10
i.data.netease.com	59.111.163.13
i.cloud.netease.com	114.113.199.251
i.hz.netease.com	115.236.126.253, 115.236.126.254
i.qa.netease.com	115.236.126.253, 115.236.126.254
i.sf.netease.com	61.135.218.101
i.pay.netease.com	220.181.96.66
i.pm.netease.com	59.111.0.58
id.cloud.netease.com	114.113.199.251
id.da.netease.com	223.252.199.10
id.data.netease.com	59.111.163.13
id.ci.netease.com	115.236.126.253, 115.236.126.254
id.hz.netease.com	115.236.126.253, 115.236.126.254
id.qa.netease.com	115.236.126.253, 115.236.126.254
id.sf.netease.com	61.135.218.101
id.pay.netease.com	220.181.96.66
image.da.netease.com	223.252.199.10
image.data.netease.com	59.111.163.13
image.cloud.netease.com	114.113.199.251
image.ci.netease.com	115.236.126.253, 115.236.126.254
image.hz.netease.com	115.236.126.253, 115.236.126.254
image.popo.netease.com	106.2.33.154
image.sf.netease.com	61.135.218.101
image.qa.netease.com	115.236.126.253, 115.236.126.254
imap.cloud.netease.com	114.113.199.251
imap.corp.netease.com	42.186.62.104, 42.186.62.165, 59.111.134.157, 59.111.134.158, 59.111.134.159
image.pay.netease.com	220.181.96.66
imap.ci.netease.com	115.236.126.253, 115.236.126.254
imap.da.netease.com	223.252.199.10
imap.data.netease.com	59.111.163.13
imap.hz.netease.com	115.236.126.253, 115.236.126.254
imap.pay.netease.com	220.181.96.66
imap.qa.netease.com	115.236.126.253, 115.236.126.254
imap.sf.netease.com	61.135.218.101
img.ci.netease.com	115.236.126.253, 115.236.126.254
img.cloud.netease.com	114.113.199.251
img.data.netease.com	59.111.163.13
img.da.netease.com	223.252.199.10
img.hz.netease.com	115.236.126.253, 115.236.126.254
img.matrix.netease.com	42.186.57.244
img.pay.netease.com	220.181.96.66
img.qa.netease.com	115.236.126.253, 115.236.126.254
img.sf.netease.com	61.135.218.101
img01.ci.netease.com	115.236.126.253, 115.236.126.254
img01.cloud.netease.com	114.113.199.251
img01.hz.netease.com	115.236.126.253, 115.236.126.254
img01.data.netease.com	59.111.163.13
img01.da.netease.com	223.252.199.10
img01.pay.netease.com	220.181.96.66
img01.qa.netease.com	115.236.126.253, 115.236.126.254
img01.sf.netease.com	61.135.218.101
img02.cloud.netease.com	114.113.199.251
img02.ci.netease.com	115.236.126.253, 115.236.126.254
img02.data.netease.com	59.111.163.13
img02.da.netease.com	223.252.199.10
img02.hz.netease.com	115.236.126.253, 115.236.126.254
img02.pay.netease.com	220.181.96.66
img02.sf.netease.com	61.135.218.101
img02.qa.netease.com	115.236.126.253, 115.236.126.254
img03.cloud.netease.com	114.113.199.251
img03.da.netease.com	223.252.199.10
img03.ci.netease.com	115.236.126.253, 115.236.126.254
img03.data.netease.com	59.111.163.13
img03.hz.netease.com	115.236.126.253, 115.236.126.254
img03.pay.netease.com	220.181.96.66
img03.sf.netease.com	61.135.218.101
img03.qa.netease.com	115.236.126.253, 115.236.126.254
img04.data.netease.com	59.111.163.13
img04.cloud.netease.com	114.113.199.251
img04.da.netease.com	223.252.199.10
img04.ci.netease.com	115.236.126.253, 115.236.126.254
img04.hz.netease.com	115.236.126.253, 115.236.126.254
img04.pay.netease.com	220.181.96.66
img04.qa.netease.com	115.236.126.253, 115.236.126.254
img04.sf.netease.com	61.135.218.101
it.cloud.netease.com	114.113.199.251
it.ci.netease.com	115.236.126.253, 115.236.126.254
it.data.netease.com	59.111.163.13
it.da.netease.com	223.252.199.10
it.hz.netease.com	115.236.126.253, 115.236.126.254
it.n.netease.com	123.58.182.133
it.pay.netease.com	220.181.96.66
it.qa.netease.com	115.236.126.253, 115.236.126.254
it.sf.netease.com	61.135.218.101
j.cloud.netease.com	114.113.199.251
j.data.netease.com	59.111.163.13
j.da.netease.com	223.252.199.10
j.ci.netease.com	115.236.126.253, 115.236.126.254
j.hz.netease.com	115.236.126.253, 115.236.126.254
j.pay.netease.com	220.181.96.66
j.qa.netease.com	115.236.126.253, 115.236.126.254
j.sf.netease.com	61.135.218.101
jira.cloud.netease.com	114.113.199.251
jira.ci.netease.com	115.236.126.253, 115.236.126.254
jira.data.netease.com	59.111.163.13
jira.hz.netease.com	115.236.126.253, 115.236.126.254
jira.mail.netease.com	223.252.216.151
jira.n.netease.com	123.58.182.133
jira.pay.netease.com	220.181.96.66
jira.qa.netease.com	115.236.126.253, 115.236.126.254
jira.sf.netease.com	61.135.218.101
jira.sh.netease.com	211.144.205.2
js.cloud.netease.com	114.113.199.251
js.ci.netease.com	115.236.126.253, 115.236.126.254
js.data.netease.com	59.111.163.13
js.da.netease.com	223.252.199.10
js.hz.netease.com	115.236.126.253, 115.236.126.254
js.pay.netease.com	220.181.96.66
js.qa.netease.com	115.236.126.253, 115.236.126.254
js.sf.netease.com	61.135.218.101
k.ci.netease.com	115.236.126.253, 115.236.126.254
k.cloud.netease.com	114.113.199.251
k.da.netease.com	223.252.199.10
k.data.netease.com	59.111.163.13
k.hz.netease.com	115.236.126.253, 115.236.126.254
k.pay.netease.com	220.181.96.66
k.qa.netease.com	115.236.126.253, 115.236.126.254
k.sf.netease.com	61.135.218.101
lab.ci.netease.com	115.236.126.253, 115.236.126.254
lab.cloud.netease.com	114.113.199.251
lab.data.netease.com	59.111.163.13
lab.da.netease.com	223.252.199.10
lab.hz.netease.com	115.236.126.253, 115.236.126.254
lab.pay.netease.com	220.181.96.66
lab.sf.netease.com	61.135.218.101
lab.qa.netease.com	115.236.126.253, 115.236.126.254
ldap.ci.netease.com	115.236.126.253, 115.236.126.254
ldap.corp.netease.com	123.58.173.113
ldap.cloud.netease.com	114.113.199.251
ldap.hz.netease.com	115.236.126.253, 115.236.126.254
ldap.da.netease.com	223.252.199.10
ldap.mail.netease.com	123.58.182.108
ldap.data.netease.com	59.111.163.13
ldap.pay.netease.com	220.181.96.66
ldap.qa.netease.com	115.236.126.253, 115.236.126.254
ldap.sf.netease.com	61.135.218.101
lib.da.netease.com	223.252.199.10
lib.ci.netease.com	115.236.126.253, 115.236.126.254
lib.data.netease.com	59.111.163.13
lib.cloud.netease.com	114.113.199.251
lib.hz.netease.com	115.236.126.253, 115.236.126.254
lib.pay.netease.com	220.181.96.66
lib.qa.netease.com	115.236.126.253, 115.236.126.254
lib.sf.netease.com	61.135.218.101
library.data.netease.com	59.111.163.13
library.cloud.netease.com	114.113.199.251
library.ci.netease.com	115.236.126.253, 115.236.126.254
library.da.netease.com	223.252.199.10
library.hz.netease.com	115.236.126.253, 115.236.126.254
library.qa.netease.com	115.236.126.253, 115.236.126.254
library.pay.netease.com	220.181.96.66
library.sf.netease.com	61.135.218.101
list.da.netease.com	223.252.199.10
list.cloud.netease.com	114.113.199.251
list.ci.netease.com	115.236.126.253, 115.236.126.254
list.data.netease.com	59.111.163.13
list.hz.netease.com	115.236.126.253, 115.236.126.254
list.n.netease.com	123.58.182.133
list.pay.netease.com	220.181.96.66
list.qa.netease.com	115.236.126.253, 115.236.126.254
list.sf.netease.com	61.135.218.101
live.ci.netease.com	115.236.126.253, 115.236.126.254
live.cloud.netease.com	114.113.199.251
live.da.netease.com	223.252.199.10
live.data.netease.com	59.111.163.13
live.hz.netease.com	115.236.126.253, 115.236.126.254
live.pay.netease.com	220.181.96.66
live.qa.netease.com	115.236.126.253, 115.236.126.254
live.sf.netease.com	61.135.218.101
lm.cloud.netease.com	114.113.199.251
lm.ci.netease.com	115.236.126.253, 115.236.126.254
lm.da.netease.com	223.252.199.10
lm.data.netease.com	59.111.163.13
lm.hz.netease.com	115.236.126.253, 115.236.126.254
lm.sf.netease.com	61.135.218.101
lm.qa.netease.com	115.236.126.253, 115.236.126.254
lm.pay.netease.com	220.181.96.66
log.cc.netease.com	106.2.95.63, 59.111.137.245
log.cloud.netease.com	114.113.199.251
log.ci.netease.com	115.236.126.253, 115.236.126.254
log.data.netease.com	59.111.163.13
log.da.netease.com	223.252.199.10
log.hz.netease.com	115.236.126.253, 115.236.126.254
log.pay.netease.com	220.181.96.66
log.sf.netease.com	61.135.218.101
log.qa.netease.com	115.236.126.253, 115.236.126.254
login.cloud.netease.com	114.113.199.251
login.ci.netease.com	115.236.126.253, 115.236.126.254
login.da.netease.com	223.252.199.10
login.data.netease.com	59.111.163.13
login.hz.netease.com	115.236.126.253, 115.236.126.254
login.pay.netease.com	220.181.96.66
login.qa.netease.com	115.236.126.253, 115.236.126.254
login.sf.netease.com	61.135.218.101
mail.ci.netease.com	115.236.126.253, 115.236.126.254
mail.cloud.netease.com	114.113.199.251
mail.data.netease.com	59.111.163.13
mail.da.netease.com	223.252.199.10
mail.hz.netease.com	115.236.126.253, 115.236.126.254
mail.pm.netease.com	59.111.0.58
mail.pay.netease.com	220.181.96.66
mail.sf.netease.com	61.135.218.101
mail.qa.netease.com	115.236.126.253, 115.236.126.254
manage.ci.netease.com	115.236.126.253, 115.236.126.254
manage.cloud.netease.com	114.113.199.251
manage.da.netease.com	223.252.199.10
manage.data.netease.com	59.111.163.13
manage.hz.netease.com	115.236.126.253, 115.236.126.254
manage.pay.netease.com	220.181.96.66
manage.qa.netease.com	115.236.126.253, 115.236.126.254
manage.sf.netease.com	61.135.218.101
manager.ci.netease.com	115.236.126.253, 115.236.126.254
manager.da.netease.com	223.252.199.10
manager.cloud.netease.com	114.113.199.251
manager.data.netease.com	59.111.163.13
manager.hz.netease.com	115.236.126.253, 115.236.126.254
manager.popo.netease.com	106.2.69.242
manager.pay.netease.com	220.181.96.66
manager.qa.netease.com	115.236.126.253, 115.236.126.254
manager.sf.netease.com	61.135.218.101
master.cloud.netease.com	114.113.199.251
master.ci.netease.com	115.236.126.253, 115.236.126.254
master.da.netease.com	223.252.199.10
master.data.netease.com	59.111.163.13
master.hz.netease.com	115.236.126.253, 115.236.126.254
master.mail.netease.com	123.58.177.245
master.qa.netease.com	115.236.126.253, 115.236.126.254
master.pay.netease.com	220.181.96.66
master.sf.netease.com	61.135.218.101
mgr.da.netease.com	223.252.199.10
mgr.ci.netease.com	115.236.126.253, 115.236.126.254
mgr.cloud.netease.com	114.113.199.251
mgr.data.netease.com	59.111.163.13
mgr.hz.netease.com	115.236.126.253, 115.236.126.254
mgr.qa.netease.com	115.236.126.253, 115.236.126.254
mgr.pay.netease.com	220.181.96.66
mgr.sf.netease.com	61.135.218.101
monitor.cloud.netease.com	114.113.199.251
monitor.ci.netease.com	115.236.126.253, 115.236.126.254
monitor.da.netease.com	223.252.199.10
monitor.data.netease.com	59.111.163.13
monitor.hz.netease.com	115.236.113.65
monitor.pay.netease.com	220.181.96.66
monitor.pm.netease.com	59.111.0.58
monitor.sf.netease.com	61.135.218.101
monitor.qa.netease.com	115.236.126.253, 115.236.126.254
mysql.data.netease.com	59.111.163.13
mysql.cloud.netease.com	114.113.199.251
mysql.ci.netease.com	115.236.126.253, 115.236.126.254
mysql.da.netease.com	223.252.199.10
mysql.hz.netease.com	115.236.126.253, 115.236.126.254
mysql.pay.netease.com	220.181.96.66
mysql.sf.netease.com	61.135.218.101
mysql.qa.netease.com	115.236.126.253, 115.236.126.254
n.ci.netease.com	115.236.126.253, 115.236.126.254
n.cloud.netease.com	114.113.199.251
n.data.netease.com	59.111.163.13
n.da.netease.com	223.252.199.10
n.hz.netease.com	115.236.126.253, 115.236.126.254
n.qa.netease.com	115.236.126.253, 115.236.126.254
n.sf.netease.com	61.135.218.101
n.pay.netease.com	220.181.96.66
nagios.ci.netease.com	115.236.126.253, 115.236.126.254
nagios.da.netease.com	223.252.199.10
nagios.data.netease.com	59.111.163.13
nagios.cloud.netease.com	114.113.199.251
nagios.hz.netease.com	115.236.126.253, 115.236.126.254
nagios.pay.netease.com	220.181.96.66
nagios.qa.netease.com	115.236.126.253, 115.236.126.254
nagios.sf.netease.com	61.135.218.101
new.cloud.netease.com	114.113.199.251
new.ci.netease.com	115.236.126.253, 115.236.126.254
new.data.netease.com	59.111.163.13
new.da.netease.com	223.252.199.10
new.hz.netease.com	115.236.126.253, 115.236.126.254
new.sf.netease.com	61.135.218.101
new.pay.netease.com	220.181.96.66
o.cloud.netease.com	114.113.199.251
o.da.netease.com	223.252.199.10
new.qa.netease.com	115.236.126.253, 115.236.126.254
new.reports.netease.com	59.111.160.246
o.ci.netease.com	115.236.126.253, 115.236.126.254
o.data.netease.com	59.111.163.13
o.hz.netease.com	115.236.126.253, 115.236.126.254
o.pay.netease.com	220.181.96.66
o.qa.netease.com	115.236.126.253, 115.236.126.254
o.sf.netease.com	61.135.218.101
oa.ci.netease.com	115.236.126.253, 115.236.126.254
oa.cloud.netease.com	114.113.199.251
oa.da.netease.com	223.252.199.10
oa.data.netease.com	59.111.163.13
oa.hz.netease.com	115.236.126.253, 115.236.126.254
oa.mail.netease.com	220.181.72.19
oa.pay.netease.com	220.181.96.66
oa.qa.netease.com	115.236.126.253, 115.236.126.254
oa.sf.netease.com	61.135.218.101
old.ci.netease.com	115.236.126.253, 115.236.126.254
old.cloud.netease.com	114.113.199.251
old.da.netease.com	223.252.199.10
old.data.netease.com	59.111.163.13
old.hz.netease.com	115.236.126.253, 115.236.126.254
old.sf.netease.com	61.135.218.101
old.qa.netease.com	115.236.126.253, 115.236.126.254
old.pay.netease.com	220.181.96.66
p.data.netease.com	59.111.163.13
p.cloud.netease.com	114.113.199.251
p.da.netease.com	223.252.199.10
p.ci.netease.com	115.236.126.253, 115.236.126.254
p.hz.netease.com	123.58.180.16, 123.58.180.17
p.pay.netease.com	220.181.96.66
p.sf.netease.com	61.135.218.101
p.qa.netease.com	115.236.126.253, 115.236.126.254
p.tool.netease.com	223.252.196.19
passport.ci.netease.com	115.236.126.253, 115.236.126.254
passport.cloud.netease.com	114.113.199.251
passport.da.netease.com	223.252.199.10
passport.data.netease.com	59.111.163.13
passport.hz.netease.com	115.236.126.253, 115.236.126.254
passport.pay.netease.com	220.181.96.66
passport.sf.netease.com	61.135.218.101
passport.qa.netease.com	115.236.126.253, 115.236.126.254
phpmyadmin.cloud.netease.com	114.113.199.251
phpmyadmin.da.netease.com	223.252.199.10
phpmyadmin.ci.netease.com	115.236.126.253, 115.236.126.254
phpmyadmin.data.netease.com	59.111.163.13
phpmyadmin.hz.netease.com	115.236.126.253, 115.236.126.254
phpmyadmin.qa.netease.com	115.236.126.253, 115.236.126.254
phpmyadmin.sf.netease.com	61.135.218.101
phpmyadmin.pay.netease.com	220.181.96.66
pic.cloud.netease.com	114.113.199.251
pic.ci.netease.com	115.236.126.253, 115.236.126.254
pic.da.netease.com	223.252.199.10
pic.data.netease.com	59.111.163.13
pic.hz.netease.com	115.236.126.253, 115.236.126.254
pic.pay.netease.com	220.181.96.66
pic.qa.netease.com	115.236.126.253, 115.236.126.254
pic.sf.netease.com	61.135.218.101
pma.ci.netease.com	115.236.126.253, 115.236.126.254
pma.data.netease.com	59.111.163.13
pma.cloud.netease.com	114.113.199.251
pma.da.netease.com	223.252.199.10
pma.hz.netease.com	115.236.126.253, 115.236.126.254
pma.pay.netease.com	220.181.96.66
pma.sf.netease.com	61.135.218.101
pma.qa.netease.com	115.236.126.253, 115.236.126.254
pop.ci.netease.com	115.236.126.253, 115.236.126.254
pop.da.netease.com	223.252.199.10
pop.cloud.netease.com	114.113.199.251
pop.hz.netease.com	115.236.126.253, 115.236.126.254
pop.corp.netease.com	42.186.62.104, 42.186.62.165, 59.111.134.157, 59.111.134.158, 59.111.134.159
pop.data.netease.com	59.111.163.13
pop.pay.netease.com	220.181.96.66
pop.sf.netease.com	61.135.218.101
pop.qa.netease.com	115.236.126.253, 115.236.126.254
portal.ci.netease.com	115.236.126.253, 115.236.126.254
portal.cloud.netease.com	114.113.199.251
portal.data.netease.com	59.111.163.13
portal.da.netease.com	223.252.199.10
portal.hz.netease.com	115.236.126.253, 115.236.126.254
portal.n.netease.com	123.58.182.133
portal.pay.netease.com	220.181.96.66
portal.qa.netease.com	115.236.126.253, 115.236.126.254
portal.sf.netease.com	61.135.218.101
preview.cloud.netease.com	114.113.199.251
preview.ci.netease.com	115.236.126.253, 115.236.126.254
preview.da.netease.com	223.252.199.10
preview.data.netease.com	59.111.163.13
preview.hz.netease.com	115.236.126.253, 115.236.126.254
preview.pay.netease.com	220.181.96.66
preview.qa.netease.com	115.236.126.253, 115.236.126.254
preview.sf.netease.com	61.135.218.101
profile.ci.netease.com	115.236.126.253, 115.236.126.254
profile.cloud.netease.com	114.113.199.251
profile.da.netease.com	223.252.199.10
profile.data.netease.com	59.111.163.13
profile.hz.netease.com	115.236.126.253, 115.236.126.254
profile.pay.netease.com	220.181.96.66
profile.qa.netease.com	115.236.126.253, 115.236.126.254
profile.sf.netease.com	61.135.218.101
proxy.cloud.netease.com	114.113.199.251
proxy.da.netease.com	223.252.199.10
proxy.data.netease.com	59.111.163.13
proxy.ci.netease.com	115.236.126.253, 115.236.126.254
proxy.hz.netease.com	115.236.126.253, 115.236.126.254
proxy.n.netease.com	59.111.181.155
proxy.pay.netease.com	220.181.96.66
proxy.sf.netease.com	61.135.218.101
proxy.qa.netease.com	115.236.126.253, 115.236.126.254
q.cloud.netease.com	114.113.199.251
q.ci.netease.com	115.236.126.253, 115.236.126.254
q.da.netease.com	223.252.199.10
q.data.netease.com	59.111.163.13
q.hz.netease.com	115.236.126.253, 115.236.126.254
q.pay.netease.com	220.181.96.66
q.sf.netease.com	61.135.218.101
q.tool.netease.com	223.252.196.19
r.da.netease.com	223.252.199.10
r.cloud.netease.com	114.113.199.251
r.data.netease.com	59.111.163.13
r.ci.netease.com	115.236.126.253, 115.236.126.254
q.qa.netease.com	115.236.126.253, 115.236.126.254
r.hz.netease.com	115.236.126.253, 115.236.126.254
r.pay.netease.com	220.181.96.66
r.qa.netease.com	115.236.126.253, 115.236.126.254
r.sf.netease.com	61.135.218.101
res.cc.netease.com	180.101.151.5
res.ci.netease.com	115.236.126.253, 115.236.126.254
res.cloud.netease.com	114.113.199.251
res.ai.netease.com	121.46.247.254, 61.164.210.205
res.cms.netease.com	121.46.247.254, 61.164.210.205
res.data.netease.com	59.111.163.13
res.da.netease.com	223.252.199.10
res.di.netease.com	121.46.247.254, 61.164.210.205
res.em.netease.com	121.46.247.254, 61.164.210.205
res.ff.netease.com	121.46.247.254, 61.164.210.205
res.dt.netease.com	121.46.247.254, 61.164.210.205
res.game.netease.com	101.227.102.164, 121.46.248.88
res.f.netease.com	121.46.247.254, 61.164.210.205
res.hz.netease.com	115.236.126.253, 115.236.126.254
res.fc.netease.com	121.46.247.254, 61.164.210.205
res.m.netease.com	121.46.247.254, 61.164.210.205
res.lm.netease.com	121.46.247.254, 61.164.210.205
